lon,lat,M,time_string,depth,catalog_id,event_id
-117.43017,35.616665,4.73,2019-07-06T03:22:35.630000,9.35,-1,
-117.7365,35.891,4.64,2019-07-06T03:22:48.300000,9.1,-1,
-117.617836,35.803165,4.84,2019-07-06T03:23:50.720000,11.44,-1,
-117.67083,35.86067,4.61,2019-07-06T03:25:27.970000,10.32,-1,
-117.72583,35.913834,4.5,2019-07-06T03:27:07.010000,8.0,-1,
-117.431335,35.530334,4.57,2019-07-06T03:27:11.370000,3.83,-1,
-117.7115,35.902832,4.51,2019-07-06T03:29:32.080000,3.18,-1,
-117.35817,35.556667,4.49,2019-07-06T03:30:25.050000,8.71,-1,
-117.73033,35.890335,4.17,2019-07-06T03:32:46.660000,6.15,-1,
-117.505165,35.714832,4.13,2019-07-06T03:33:09.850000,1.74,-1,
-117.466835,35.65217,4.09,2019-07-06T03:35:05.420000,1.97,-1,
-117.73383,35.902832,4.35,2019-07-06T03:36:16.460000,7.27,-1,
-117.722,35.892334,3.98,2019-07-06T03:41:38.650000,7.87,-1,
-117.693,35.9045,3.96,2019-07-06T03:44:17.670000,6.44,-1,
-117.47034,35.6805,4.26,2019-07-06T03:46:26.870000,6.85,-1,
-117.7495,35.901165,5.5,2019-07-06T03:47:53.420000,5.04,-1,
-117.69,35.9025,3.98,2019-07-06T03:48:24.660000,0.5,-1,
-117.700165,35.9035,4.97,2019-07-06T03:50:59.710000,8.26,-1,
-117.6875,35.9055,4.06,2019-07-06T03:55:20.020000,8.43,-1,
-117.66133,35.869,4.31,2019-07-06T03:57:50.900000,7.21,-1,
-117.70883,35.917,3.9,2019-07-06T04:05:49.900000,2.34,-1,
-117.37383,35.578,3.79,2019-07-06T04:06:14.580000,5.91,-1,
-117.52167,35.55517,4.68,2019-07-06T04:07:04.570000,5.64,-1,
-117.58083,35.777668,3.85,2019-07-06T04:10:49.040000,10.41,-1,
-117.69067,35.902332,3.83,2019-07-06T04:11:02.210000,7.27,-1,
-117.72283,35.887333,3.87,2019-07-06T04:12:18.850000,9.17,-1,
-117.6145,35.584667,4.8,2019-07-06T04:13:07.080000,9.73,-1,
-117.402664,35.604168,3.84,2019-07-06T04:14:20.800000,6.72,-1,
-117.49067,35.6795,3.74,2019-07-06T04:14:31.370000,0.91,-1,
-117.68483,35.910168,5.44,2019-07-06T04:18:55.790000,7.41,-1,
-117.6175,35.785,4.49,2019-07-06T04:19:15.470000,10.6,-1,
