"ev_id","date","time_orig","time_orig_decimals","lat_orig","long_orig","depth","Mb","Ms","region","source_type","bwave_n_stations","bwave_n_inv","bwave_cutoff","mwave_n_stations","mwave_n_inv","mwave_cutoff","swave_n_stations","swave_n_inv","swave_cutoff","dcouple","centroid_time","delta_centroid_time","centroid_lat","delta_centroid_lat","centroid_long","delta_centroid_long","centroid_depth","delta_centroid_depth","prof","half_dur","inv_date_string","exp","mrr","delta_mrr","mss","delta_mss","mee","delta_mee","mrs","delta_mrs","mre","delta_mre","mse","delta_mse","eigen_t","plunge_t","strike_t","eigen_n","plunge_n","strike_n","eigen_p","plunge_p","strike_p","scalar_moment","strike1","dip1","rake1","strike2","dip2","rake2","Mw","status_flag","quality_flag"
"S201001050247A","2010-01-05","02:47:16","1","36.04","25.45","115.00","4.5","0.0","DODECANESE ISLANDS GREE","ING","0","0","0","0","0","0","14","17","35","1","-1.5","0.9","35.88","0.06","25.62","0.08","125.800","10.900","0","1.0","D-S201001050247A","22","-1.570","0.410","-0.710","0.710","2.280","0.690","-2.480","0.360","-0.640","0.310","-1.610","0.700","3.030","7","242","1.000","43","145","-4.030","46","340","3.530","10","53","-32","120","65","-139","4.3","D","A"
"S201001120825A","2010-01-12","08:25:10","0","43.12","13.41","25.00","4.5","0.0","CENTRAL ITALY ","ING","0","0","0","0","0","0","7","9","30","1","2.3","0.5","43.12","0.06","13.49","0.04","26.000","0.000","0","1.0","D-S201001120825A","22","0.240","0.510","0.900","0.400","-1.140","0.340","0.830","0.370","-2.220","0.220","0.140","0.420","2.170","49","48","0.710","16","156","-2.870","37","258","2.520","44","17","158","155","84","74","4.2","D","A"
"S201001121335A","2010-01-12","13:35:47","0","43.26","13.47","31.00","4.6","0.0","CENTRAL ITALY ","ING","0","0","0","0","0","0","5","5","30","1","-2.0","0.9","43.11","0.08","13.38","0.05","31.000","0.000","0","1.0","D-S201001121335A","22","-0.610","0.790","1.670","0.540","-1.060","0.720","0.690","0.330","-1.050","0.250","0.020","0.590","1.890","18","6","0.080","44","114","-1.970","40","260","1.930","52","48","-161","309","76","-44","4.1","D","A"
"S201001172016A","2010-01-17","20:16:00","9","35.20","27.71","52.00","5.0","0.0","DODECANESE ISLANDS GREE","ING","0","0","0","0","0","0","18","29","35","1","3.9","0.9","35.50","0.05","27.62","0.02","31.200","1.800","0","1.3","D-S201001172016A","23","-0.590","0.340","-3.030","0.200","3.620","0.210","0.160","0.170","0.010","0.160","0.010","0.190","3.620","0","270","-0.580","86","3","-3.040","4","180","3.330","315","87","-178","225","88","-3","5.0","D","B"
"C201001181556A","2010-01-18","15:56:00","8","38.39","21.95","10.00","5.3","0.0","GREECE ","ING","0","0","0","2","2","40","25","53","40","1","2.7","0.3","38.37","0.02","21.95","0.02","14.800","0.900","0","1.7","D-C201001181556A","24","-1.850","0.110","2.070","0.080","-0.230","0.050","0.080","0.090","-0.180","0.100","-0.110","0.040","2.080","1","3","-0.210","6","93","-1.870","84","262","1.970","87","44","-99","279","47","-81","5.5","D","A"
"C201001220046A","2010-01-22","00:46:57","2","38.42","22.04","5.30","5.3","0.0","GREECE ","ING","0","0","0","3","3","40","28","63","35","1","2.3","0.3","38.32","0.02","21.92","0.02","10.000","0.000","0","1.7","D-C201001220046A","24","-1.170","0.030","1.390","0.030","-0.230","0.020","0.450","0.120","-0.320","0.120","-0.010","0.020","1.470","10","2","-0.140","15","95","-1.340","72","240","1.400","74","37","-115","285","57","-72","5.4","D","A"
"S201001221053A","2010-01-22","10:53:34","2","38.32","21.98","10.00","4.5","0.0","GREECE ","ING","0","0","0","0","0","0","11","11","35","1","1.3","1.2","38.32","0.08","21.87","0.07","12.000","0.000","0","1.0","D-S201001221053A","22","-0.940","0.320","3.310","0.300","-2.360","0.250","2.760","1.080","1.550","0.740","-0.150","0.420","4.710","27","355","-0.900","38","241","-3.810","40","110","4.260","136","39","-12","235","82","-128","4.4","D","A"
"S201001221059A","2010-01-22","10:59:17","1","38.34","22.01","10.00","4.8","0.0","GREECE ","ING","0","0","0","0","0","0","16","18","35","1","2.5","0.5","38.30","0.03","21.90","0.03","10.000","0.000","0","1.1","D-S201001221059A","23","-0.280","0.060","1.050","0.060","-0.760","0.040","0.450","0.220","0.600","0.200","0.290","0.060","1.300","20","346","-0.120","49","231","-1.170","34","90","1.230","123","50","-11","221","81","-139","4.7","D","A"
"S201001261331A","2010-01-26","13:31:14","8","35.11","26.94","2.00","4.6","0.0","CRETE GREECE ","ING","0","0","0","0","0","0","17","19","35","1","-2.3","0.7","34.89","0.04","26.74","0.03","10.000","0.000","0","1.0","D-S201001261331A","23","0.070","0.030","-0.260","0.030","0.190","0.030","0.580","0.080","-1.110","0.060","0.180","0.030","1.290","45","75","-0.010","13","331","-1.290","42","230","1.290","249","13","7","152","88","103","4.7","D","A"
"S201001301347A","2010-01-30","13:47:39","4","38.30","22.45","10.00","4.8","0.0","GREECE ","ING","0","0","0","0","0","0","9","10","30","1","-1.6","0.9","38.14","0.06","22.47","0.10","10.000","0.000","0","1.1","D-S201001301347A","22","-2.140","0.350","4.680","0.250","-2.530","0.410","-0.790","1.890","-2.840","2.090","-0.760","0.290","4.800","5","184","0.510","47","89","-5.300","43","279","5.050","312","57","-30","59","65","-144","4.4","D","A"
